7,37,8,15
8,14,8,52
8,48,9,26
9,18,9,56
9,50,10,28
10,45,11,23
11,23,12,1
12,46,13,24
13,19,13,57
14,32,15,10
16,1,16,39
16,43,17,21
17,54,18,33
19,3,19,40
20,11,20,47
